date_key,full_date,day_of_week,day_num_in_month,day_num_overall,day_name,day_abbrev,weekday_flag,week_num_in_year,week_num_overall,week_begin_date,week_begin_date_key,month,month_num_overall,month_name,month_abbrev,quarter,year,yearmo,fiscal_month,fiscal_quarter,fiscal_year,last_day_in_month_flag,same_day_year_ago_date
20150101,1/1/2015,4,1,1,Thursday,Thu,Weekday,1,1,12/29/2014,20141229,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/1/2014
20150102,1/2/2015,5,2,2,Friday,Fri,Weekday,1,1,12/29/2014,20141229,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/2/2014
20150103,1/3/2015,6,3,3,Saturday,Sat,Weekend,1,1,12/29/2014,20141229,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/3/2014
20150104,1/4/2015,7,4,4,Sunday,Sun,Weekend,1,1,12/29/2014,20141229,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/4/2014
20150105,1/5/2015,1,5,5,Monday,Mon,Weekday,2,2,1/5/2015,20150105,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/5/2014
20150106,1/6/2015,2,6,6,Tuesday,Tue,Weekday,2,2,1/5/2015,20150105,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/6/2014
20150107,1/7/2015,3,7,7,Wednesday,Wed,Weekday,2,2,1/5/2015,20150105,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/7/2014
20150108,1/8/2015,4,8,8,Thursday,Thu,Weekday,2,2,1/5/2015,20150105,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/8/2014
20150109,1/9/2015,5,9,9,Friday,Fri,Weekday,2,2,1/5/2015,20150105,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/9/2014
20150110,1/10/2015,6,10,10,Saturday,Sat,Weekend,2,2,1/5/2015,20150105,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/10/2014
20150111,1/11/2015,7,11,11,Sunday,Sun,Weekend,2,2,1/5/2015,20150105,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/11/2014
20150112,1/12/2015,1,12,12,Monday,Mon,Weekday,3,3,1/12/2015,20150112,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/12/2014
20150113,1/13/2015,2,13,13,Tuesday,Tue,Weekday,3,3,1/12/2015,20150112,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/13/2014
20150114,1/14/2015,3,14,14,Wednesday,Wed,Weekday,3,3,1/12/2015,20150112,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/14/2014
20150115,1/15/2015,4,15,15,Thursday,Thu,Weekday,3,3,1/12/2015,20150112,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/15/2014
20150116,1/16/2015,5,16,16,Friday,Fri,Weekday,3,3,1/12/2015,20150112,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/16/2014
20150117,1/17/2015,6,17,17,Saturday,Sat,Weekend,3,3,1/12/2015,20150112,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/17/2014
20150118,1/18/2015,7,18,18,Sunday,Sun,Weekend,3,3,1/12/2015,20150112,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/18/2014
20150119,1/19/2015,1,19,19,Monday,Mon,Weekday,4,4,1/19/2015,20150119,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/19/2014
20150120,1/20/2015,2,20,20,Tuesday,Tue,Weekday,4,4,1/19/2015,20150119,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/20/2014
20150121,1/21/2015,3,21,21,Wednesday,Wed,Weekday,4,4,1/19/2015,20150119,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/21/2014
20150122,1/22/2015,4,22,22,Thursday,Thu,Weekday,4,4,1/19/2015,20150119,1,1,January,Jan,1,2015,201501,7,3,2015,Not Month End,1/22/2014
